STATE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER TOTAL
Alabama,"190,615,628","205,234,165","208,661,239","207,011,192","213,960,448","205,113,912","215,431,893","214,076,788","192,322,827","192,322,827","204,340,629","209,148,704  2,458,240,252"
Alaska,"21,277,831","17,820,418","23,273,691","21,849,592","27,097,637","28,811,560","29,075,565","26,631,123","18,778,040","24,800,137","21,969,871","22,123,140  283,508,605"
Arizona,"203,543,999","193,757,647","218,713,081","207,455,170","211,093,454","207,186,669","207,831,870","216,976,679","196,255,970","213,048,604","206,544,284","210,630,344  2,493,037,771"
Arkansas,"100,993,496","110,964,456","119,726,320","119,467,064","129,368,185","123,088,543","125,976,269","127,338,275","115,452,688","125,982,343","118,377,771","119,832,408  1,436,567,818"
California,"1,207,478,310","1,123,117,953","1,269,289,220","1,241,380,739","1,194,403,301","1,384,008,158","1,340,874,387","1,332,840,085","1,215,594,129","1,107,036,345","1,250,357,533","1,300,325,220  14,966,705,380"
Colorado,"81,735,822","253,876,653","110,184,822","223,518,964","181,739,211","182,750,528","197,149,814","196,729,348","176,507,332","183,362,795","174,906,442","177,156,643  2,139,618,374"
Connecticut,"119,879,569","108,908,819","120,397,658","115,737,958","133,297,256","125,553,368","124,055,582","133,151,458","120,576,420","134,874,272","126,382,844","137,649,352  1,500,464,556"
Delaware,"29,315,694","28,318,848","32,630,644","33,224,648","51,513,975","16,965,083","36,881,157","29,691,323","44,120,091","28,742,883","34,914,588","31,696,911  398,015,845"
District of Columbia,"14,806,832","13,553,195","14,836,248","14,335,636","14,653,591","13,814,249","13,946,049","13,136,009","12,473,034","13,022,206","15,167,171","11,807,780  165,552,000"
Florida,"644,291,630","636,665,390","624,014,209","667,422,742","686,916,162","651,748,000","633,428,983","647,764,245","642,182,652","600,549,908","655,795,305","623,193,215  7,713,972,441"
Georgia,"384,159,636","361,797,680","415,182,181","403,698,066","404,898,365","409,180,023","412,909,216","416,891,021","387,575,629","421,008,258","400,074,015","417,682,208  4,835,056,298"
Hawaii,"40,917,614","34,163,638","35,058,311","39,255,941","35,054,725","31,484,336","41,853,946","20,269,463","38,082,254","32,907,298","36,974,746","33,468,917  419,491,189"
Idaho,"53,880,978","50,085,879","43,516,050","39,685,760","59,958,888","49,679,596","57,748,130","59,779,753","57,219,718","67,146,941","54,726,457","56,784,813  650,212,963"
Illinois,"402,422,913","406,296,210","405,864,021","456,701,773","469,344,003","462,910,417","423,851,217","430,732,679","391,788,991","403,797,625","441,134,611","430,183,253  5,125,027,713"
Indiana,"239,873,618","230,565,731","266,297,436","263,805,771","277,492,869","285,505,191","278,865,062","294,220,152","270,217,217","281,647,528","265,389,345","273,529,174  3,227,409,094"
Iowa,"117,888,156","103,875,476","128,007,662","130,494,981","135,029,930","138,775,865","139,782,022","141,129,952","126,816,321","138,747,030","129,662,084","133,278,458  1,563,487,937"
Kansas,"108,972,210","98,638,725","108,956,187","113,958,495","117,912,063","117,328,829","117,395,891","115,999,521","101,236,134","105,472,764","105,256,069","101,491,144  1,312,618,032"
Kentucky,"163,888,559","156,159,116","181,413,563","171,966,232","187,868,835","189,658,655","188,588,698","210,464,188","181,152,430","185,292,713","183,424,983","180,691,010  2,180,568,982"
Louisiana,"182,647,136","176,497,810","199,009,827","184,797,837","195,118,118","191,193,304","200,997,017","201,467,798","184,866,290","195,545,055","189,375,893","201,683,393  2,303,199,478"
Maine,"24,681,946","79,109,745","28,985,712","69,646,916","25,248,501","63,940,647","47,258,405","89,198,225","58,702,302","32,998,027","41,533,186","50,560,788  611,864,400"
Maryland,"187,385,378","196,332,547","207,070,015","206,224,345","217,320,662","218,868,569","218,055,177","227,193,590","207,246,081","220,289,737","208,562,333","215,081,332  2,529,629,766"
Massachusetts,"217,661,354","191,900,342","217,739,798","225,933,392","273,005,967","239,408,894","244,985,816","249,567,520","232,248,415","248,476,490","231,801,757","233,447,103  2,806,176,848"
Michigan,"391,745,758","367,790,072","433,430,202","407,040,983","442,728,905","456,741,703","449,695,519","419,549,837","414,529,978","460,919,847","415,171,426","415,618,288  5,074,962,518"
Minnesota,"202,649,193","191,231,689","213,802,503","212,176,990","227,084,796","234,757,127","242,910,517","250,501,039","225,942,365","233,384,250","216,055,998","222,616,682  2,673,113,149"
Mississippi,"110,668,585","112,184,147","130,340,449","131,617,237","137,495,929","134,961,693","130,278,129","134,897,646","127,879,547","136,587,605","132,750,124","134,148,216  1,553,809,307"
Missouri,"239,233,232","221,691,763","247,126,612","267,988,784","267,794,046","272,439,386","258,928,420","298,451,316","255,758,690","273,096,406","262,649,042","249,978,319  3,115,136,016"
Montana,"34,936,786","32,824,249","37,901,739","39,119,912","43,363,064","44,520,657","52,192,069","53,235,887","41,598,518","42,696,985","38,928,309","38,290,021  499,608,196"
Nebraska,"62,357,287","59,785,376","71,563,513","72,518,390","72,695,345","77,854,846","78,980,948","81,269,195","71,325,461","75,400,422","73,106,861","73,092,178  869,949,822"
Nevada,"76,334,556","70,020,342","81,239,226","79,949,728","83,551,075","83,243,786","86,682,664","89,533,096","78,971,542","83,751,013","78,364,062","83,836,245  975,477,335"
New Hampshire,"52,459,653","53,838,828","54,480,579","52,062,835","59,035,055","59,202,355","63,366,247","61,499,874","60,451,136","60,723,498","56,058,148","57,649,801  690,828,009"
New Jersey,"310,212,219","293,485,667","328,553,905","328,263,810","348,373,514","351,260,457","353,054,219","346,742,286","321,516,771","334,544,505","347,488,457","335,444,486  3,998,940,296"
New Mexico,"26,435,475","109,958,598","72,319,331","86,365,177","78,839,360","79,631,069","80,239,550","70,779,277","87,784,676","90,183,720","56,148,986","102,800,585  941,485,804"
New York,"471,486,136","413,486,510","429,785,221","433,352,148","527,147,656","507,059,563","491,403,127","521,402,532","446,258,282","502,558,241","468,320,985","466,749,734  5,679,010,135"
North Carolina,"337,065,270","313,280,990","352,484,654","349,404,408","362,668,250","359,808,180","365,105,068","386,701,596","345,463,381","356,980,869","364,974,008","349,755,977  4,243,692,651"
North Dakota,"21,271,946","31,399,954","28,337,626","28,940,358","30,158,462","31,604,218","34,336,100","33,815,629","34,806,977","30,985,080","31,231,275","31,097,368  367,984,993"
Ohio,"405,834,707","381,911,883","435,045,930","429,640,543","447,952,210","465,858,967","454,095,860","466,489,965","429,403,330","452,413,060","427,921,175","437,907,547  5,234,475,177"
Oklahoma,"134,539,078","148,433,012","160,371,608","160,182,241","144,999,804","169,270,167","166,573,567","134,896,038","147,963,007","164,668,571","158,090,983","140,331,209  1,830,319,285"
Oregon,"109,119,060","120,506,038","122,221,703","130,202,502","135,994,849","132,650,364","141,611,584","127,021,967","143,549,019","133,746,681","121,342,244","128,302,851  1,546,268,862"
Pennsylvania,"390,702,254","365,929,834","417,022,537","420,342,918","441,001,407","441,323,934","444,666,098","463,528,224","419,524,272","446,445,519","430,880,447","466,854,726  5,148,222,170"
Rhode Island,"31,784,826","28,984,579","35,249,277","33,506,249","33,623,746","34,979,577","36,117,191","37,169,453","32,593,385","35,046,698","32,573,116","37,881,768  409,509,865"
South Carolina,"177,299,858","168,992,288","193,571,729","192,169,194","197,569,062","194,400,645","202,287,847","205,997,078","183,371,902","197,251,644","188,698,387","188,248,222  2,289,857,856"
South Dakota,"30,641,760","29,354,208","33,810,840","35,041,369","36,546,296","40,222,059","43,604,019","44,813,091","35,794,120","38,883,953","36,284,494","34,778,658  439,774,867"
Tennessee,"241,126,506","223,737,748","228,119,484","251,818,549","225,413,049","272,172,393","261,504,817","237,823,541","240,245,572","258,919,495","224,309,860","269,984,210  2,935,175,224"
Texas,"871,380,747","839,667,003","910,357,707","901,152,646","943,952,674","926,765,002","954,575,320","934,426,069","903,252,327","918,558,621","893,994,007","939,159,725  10,937,241,848"
Utah,"86,110,802","72,837,199","81,901,142","75,916,242","87,697,358","74,116,623","91,491,522","95,371,279","76,801,816","88,943,815","81,388,549","84,636,502  997,212,849"
Vermont,"28,844,906","25,753,797","27,532,109","25,248,461","29,313,779","29,645,305","31,707,169","33,429,386","27,427,247","30,440,545","27,542,993","25,805,868  342,691,565"
Virginia,"369,004,042","272,848,375","287,750,742","310,717,782","334,791,176","330,019,987","332,704,828","346,916,144","303,433,409","336,273,129","319,293,722","318,302,673  3,862,056,009"
Washington,"208,983,110","192,851,622","226,603,364","223,407,290","235,551,805","233,744,060","202,917,116","296,171,145","216,518,080","231,018,035","216,862,810","225,977,616  2,710,606,053"
West Virginia,"41,067,194","86,336,863","62,992,663","71,138,347","81,782,200","78,617,978","67,094,358","55,931,014","97,757,790","54,699,305","62,007,223","80,808,718  840,233,653"
Wisconsin,"194,813,645","180,310,542","205,530,291","203,761,633","211,868,951","226,775,083","231,380,426","243,086,561","207,337,720","213,629,348","204,361,607","213,154,543  2,536,010,350"
Wyoming,"25,736,185","20,310,319","28,547,439","23,582,655","24,952,296","25,027,021","44,698,274","27,534,098","29,771,167","41,691,910","29,521,880","35,473,367  356,846,611"
U.S. Total,"10,422,163,085","10,207,383,938","10,916,822,020","11,134,202,595","11,536,242,265","11,705,648,601","11,691,144,739","11,894,233,458","10,978,446,452","11,281,514,556","11,092,993,095","11,360,131,413  134,220,926,217"
Puerto Rico,"119,238,551","108,800,475","90,555,732","82,627,691","79,755,912","114,614,655","100,781,034","81,576,729","92,480,734","104,843,561","94,640,520","83,258,615  1,153,174,209"
Grand Total,"10,541,401,636","10,316,184,413","11,007,377,752","11,216,830,286","11,615,998,177","11,820,263,256","11,791,925,773","11,975,810,187","11,070,927,186","11,386,358,117","11,187,633,615","11,443,390,028  135,374,100,426"