State,GasolineRate,GasolineEffDate
Alabama,18.0,10/02/95
Alaska,8.0,09/01/09
Arizona,18.0,07/01/00
Arkansas,21.5,07/01/01
California,39.5,07/01/13
Colorado,22.0,01/01/91
Connecticut,25.0,07/01/04
Delaware,23.0,01/01/95
DC,23.5,10/01/09
Florida,16.9,01/01/13
Georgia,7.5,07/01/71
Hawaii,17.0,07/01/07
Idaho,25.0,01/01/96
Illinois,19.0,01/01/90
Indiana,18.0,01/01/03
Iowa,21.0,07/01/08
Kansas,24.0,07/01/03
Kentucky,30.9,07/01/13
Louisiana,20.0,01/01/90
Maine,30.0,07/01/11
Maryland,23.5,05/01/92
Massachusetts,24.0,07/30/13
Michigan,19.0,08/01/97
Minnesota,28.5,07/01/12
Mississippi,18.4,08/01/00
Missouri,17.0,04/01/96
Montana,27.8,07/01/94
Nebraska,26.3,07/01/13
Nevada,24.0,10/02/92
New Hampshire,19.6,12/01/00
New Jersey,10.5,07/01/88
New Mexico,17.0,07/01/95
New York,26.7,01/01/13
North Carolina,37.8,10/01/13
North Dakota,23.0,07/01/05
Ohio,28.0,07/01/05
Oklahoma,17.0,05/27/87
Oregon,30.0,01/01/11
Pennsylvania,31.2,01/01/06
Rhode Island,32.0,04/01/09
South Carolina,16.0,07/01/87
South Dakota,22.0,04/01/99
Tennessee,20.0,07/01/89
Texas,20.0,10/01/91
Utah,24.5,05/01/97
Vermont,33.0,05/01/13
Virginia,11.1,07/01/13
Washington,37.5,07/01/08
West Virginia,34.7,01/01/13
Wisconsin,30.9,04/01/06
Wyoming,24.0,07/01/13
Puerto Rico,16,07/01/75
Mean,23.051,-
Weighted Avg,,
Federal Tax,18.4,10/01/97